t,value
1684699950,9223372036854775807
1684699980,9223372036854775807
1684700010,9223372036854775807
1684700040,9223372036854775807
1684700070,9223372036854775807
1684700100,9223372036854775807
1684700130,9223372036854775807
1684700160,9223372036854775807
1684700190,9223372036854775807
1684700220,9223372036854775807
1684700250,9223372036854775807
1684700280,9223372036854775807
1684700310,9223372036854775807
1684700340,9223372036854775807
1684700370,9223372036854775807
1684700400,9223372036854775807
1684700430,9223372036854775807
1684700460,9223372036854775807
1684700490,9223372036854775807
1684700520,9223372036854775807
1684700550,9223372036854775807
1684700580,9223372036854775807
1684700610,9223372036854775807
1684700640,9223372036854775807
1684700670,9223372036854775807
1684700700,9223372036854775807
1684700730,9223372036854775807
1684700760,9223372036854775807
1684700790,9223372036854775807
1684700820,9223372036854775807
1684700850,9223372036854775807
1684700880,9223372036854775807
1684700910,9223372036854775807
1684700940,9223372036854775807
1684700970,9223372036854775807
1684701000,9223372036854775807
1684701030,9223372036854775807
1684701060,9223372036854775807
1684701091,9223372036854775807
1684701121,9223372036854775807
1684701151,9223372036854775807
1684701181,9223372036854775807
1684701211,9223372036854775807
1684701241,9223372036854775807
1684701271,9223372036854775807
1684701301,9223372036854775807
1684701331,9223372036854775807
1684701361,9223372036854775807
1684701391,9223372036854775807
1684701421,9223372036854775807
1684701451,9223372036854775807
1684701481,9223372036854775807
1684701511,9223372036854775807
1684701541,9223372036854775807
1684701571,9223372036854775807
1684701601,9223372036854775807
1684701631,9223372036854775807
1684701661,9223372036854775807
1684701691,9223372036854775807
1684701721,9223372036854775807
1684701751,9223372036854775807
1684701781,9223372036854775807
1684701870,9223372036854775807
1684701900,9223372036854775807
1684701930,9223372036854775807
1684701960,9223372036854775807
1684701990,9223372036854775807
1684702020,9223372036854775807
1684702050,9223372036854775807
1684702080,9223372036854775807
1684702110,9223372036854775807
1684702140,9223372036854775807
1684702170,9223372036854775807
1684702200,9223372036854775807
1684703010,9223372036854775807
1684703040,9223372036854775807
1684703100,9223372036854775807
1684703130,9223372036854775807
1684703160,9223372036854775807
1684703190,9223372036854775807
1684703220,9223372036854775807
1684703250,9223372036854775807
1684703280,9223372036854775807
1684703310,9223372036854775807
1684703340,9223372036854775807
1684703400,9223372036854775807
1684703430,9223372036854775807
1684703460,9223372036854775807
1684703490,9223372036854775807
1684703520,9223372036854775807
1684703550,9223372036854775807
1684709640,9223372036854775807
1684709670,9223372036854775807
1684709700,9223372036854775807
1684709730,9223372036854775807
1684709760,9223372036854775807
1684709790,9223372036854775807
1684709820,9223372036854775807
1684709850,9223372036854775807
1684709880,9223372036854775807
1684709910,9223372036854775807
1684709940,9223372036854775807
1684709970,9223372036854775807
1684710000,9223372036854775807
1684710030,9223372036854775807
1684710060,9223372036854775807
1684710091,9223372036854775807
1684710121,9223372036854775807
1684710151,9223372036854775807
1684710181,9223372036854775807
1684710211,9223372036854775807
1684710241,9223372036854775807
1684710271,9223372036854775807
1684710301,9223372036854775807
1684710331,9223372036854775807
1684710361,9223372036854775807
1684710391,9223372036854775807
1684710421,9223372036854775807
1684710451,9223372036854775807
1684710481,9223372036854775807
1684710511,9223372036854775807
1684710541,9223372036854775807
1684710571,9223372036854775807
1684710601,9223372036854775807
1684710631,9223372036854775807
1684710661,9223372036854775807
1684710691,9223372036854775807
1684710721,9223372036854775807
1684710751,9223372036854775807
1684710781,9223372036854775807
1684710811,9223372036854775807
1684710841,9223372036854775807
1684710871,9223372036854775807
1684710901,9223372036854775807
1684710931,9223372036854775807
1684710961,9223372036854775807
1684710991,9223372036854775807
1684711021,9223372036854775807
1684711051,9223372036854775807
1684711081,9223372036854775807
1684711111,9223372036854775807
1684711141,9223372036854775807
1684711171,9223372036854775807
1684711201,9223372036854775807
1684711231,9223372036854775807
1684711261,9223372036854775807
1684711291,9223372036854775807
1684711321,9223372036854775807
1684711351,9223372036854775807
1684711381,9223372036854775807
1684711411,9223372036854775807
1684711441,9223372036854775807
1684711471,9223372036854775807
1684711501,9223372036854775807
1684711531,9223372036854775807
1684711561,9223372036854775807
1684711591,9223372036854775807
1684711621,9223372036854775807
1684711651,9223372036854775807
1684711681,9223372036854775807
1684711711,9223372036854775807
1684711741,9223372036854775807
1684711771,9223372036854775807
1684711801,9223372036854775807
1684711831,9223372036854775807
1684711861,9223372036854775807
1684711891,9223372036854775807
1684711921,9223372036854775807
1684711951,9223372036854775807
1684711981,9223372036854775807
1684712011,9223372036854775807
1684712041,9223372036854775807
1684712071,9223372036854775807
1684712101,9223372036854775807
1684712131,9223372036854775807
1684712161,9223372036854775807
1684712191,9223372036854775807
1684712221,9223372036854775807
1684712251,9223372036854775807
1684712281,9223372036854775807
1684712311,9223372036854775807
1684712341,9223372036854775807
1684712371,9223372036854775807
1684712401,9223372036854775807
1684712431,9223372036854775807
1684712461,9223372036854775807
1684712491,9223372036854775807
1684712521,9223372036854775807
1684712551,9223372036854775807
1684712581,9223372036854775807
1684712611,9223372036854775807
1684712641,9223372036854775807
1684712671,9223372036854775807
1684712701,9223372036854775807
1684712731,9223372036854775807
1684712761,9223372036854775807
1684712791,9223372036854775807
1684712821,9223372036854775807
1684712852,9223372036854775807
1684712882,9223372036854775807
1684712912,9223372036854775807
1684712942,9223372036854775807
1684712972,9223372036854775807
1684713002,9223372036854775807
1684713032,9223372036854775807
1684713062,9223372036854775807
1684713092,9223372036854775807
1684713122,9223372036854775807
1684713152,9223372036854775807
1684713182,9223372036854775807
1684713212,9223372036854775807
1684713242,9223372036854775807
1684713272,9223372036854775807
1684713302,9223372036854775807
1684713332,9223372036854775807
1684713362,9223372036854775807
1684713392,9223372036854775807
1684713422,9223372036854775807
1684713452,9223372036854775807
1684713482,9223372036854775807
1684713512,9223372036854775807
1684713542,9223372036854775807
1684713572,9223372036854775807
1684713602,9223372036854775807
1684713632,9223372036854775807
1684713662,9223372036854775807
1684713692,9223372036854775807
1684713722,9223372036854775807
1684713752,9223372036854775807
1684713782,9223372036854775807
1684713812,9223372036854775807
1684713842,9223372036854775807
1684713872,9223372036854775807
1684713902,9223372036854775807
